Grid scores on validation set:
0.961 (+/-0.026) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.629 (+/-0.313) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.653 (+/-0.156) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.964 (+/-0.015) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.592 (+/-0.666) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.585 (+/-0.213) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.945 (+/-0.088) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.609 (+/-0.704) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.529 (+/-0.536) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.969 (+/-0.008) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.777 (+/-0.311) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.596 (+/-0.238) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.958 (+/-0.021) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.768 (+/-0.277) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.391 (+/-0.645) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.949 (+/-0.027) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.701 (+/-0.289) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.552 (+/-0.552) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.000 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.961 (+/-0.011) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.665 (+/-0.414) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.512 (+/-0.532) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.965 (+/-0.007) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.642 (+/-0.285) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.476 (+/-0.488) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.971 (+/-0.012) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.548 (+/-0.578) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.606 (+/-0.153) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.951 (+/-0.041) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.730 (+/-0.363) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.525 (+/-0.535) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.972 (+/-0.013) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.574 (+/-0.412) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.572 (+/-0.190) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.924 (+/-0.164) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.773 (+/-0.374) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.629 (+/-0.141) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.950 (+/-0.043) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.653 (+/-0.042) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.686 (+/-0.026) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.903 (+/-0.162) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.704 (+/-0.290) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.506 (+/-0.522) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.965 (+/-0.013) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.705 (+/-0.255) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.565 (+/-0.068) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.968 (+/-0.014) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.698 (+/-0.173) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.516 (+/-0.339) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.957 (+/-0.028) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.811 (+/-0.347) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.572 (+/-0.166) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.961 (+/-0.014) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.575 (+/-0.207) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.538 (+/-0.301) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.959 (+/-0.052) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.588 (+/-0.167) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.622 (+/-0.177) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.964 (+/-0.014) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.505 (+/-0.091) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.668 (+/-0.099) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.955 (+/-0.043) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.483 (+/-0.211) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.577 (+/-0.375) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.967 (+/-0.011) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.548 (+/-0.136) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.369 (+/-0.608) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.962 (+/-0.022) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.598 (+/-0.219) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.507 (+/-0.519) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.966 (+/-0.005) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.579 (+/-0.196) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.616 (+/-0.130) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.965 (+/-0.006) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.634 (+/-0.150) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.439 (+/-0.533) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.967 (+/-0.015) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.660 (+/-0.056) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.412 (+/-0.467) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.943 (+/-0.065) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.588 (+/-0.141) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.666 (+/-0.104) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.969 (+/-0.010) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.618 (+/-0.103) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.625 (+/-0.166) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.138 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.958 (+/-0.057) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.591 (+/-0.188) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.631 (+/-0.102) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.957 (+/-0.024) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.573 (+/-0.127) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
